player_of_match,count
CH Gayle,18
YK Pathan,16
DA Warner,15
AB de Villiers,15
RG Sharma,14
SK Raina,14
MS Dhoni,13
G Gambhir,13
AM Rahane,12
MEK Hussey,12
V Sehwag,11
DR Smith,11
V Kohli,11
SR Watson,10
JH Kallis,10
A Mishra,9
KA Pollard,9
SE Marsh,9
SR Tendulkar,8
RV Uthappa,7
AT Rayudu,7
RA Jadeja,7
AC Gilchrist,7
AD Russell,6
A Nehra,6
Harbhajan Singh,6
BJ Hodge,6
M Vijay,6
UT Yadav,6
SP Narine,6
JP Faulkner,5
DPMD Jayawardene,5
SC Ganguly,5
GJ Maxwell,5
KC Sangakkara,5
SL Malinga,5
BB McCullum,5
Yuvraj Singh,5
B Kumar,5
DW Steyn,5
Sandeep Sharma,5
AJ Finch,5
SK Warne,4
AR Patel,4
JD Unadkat,4
JP Duminy,4
SPD Smith,4
KD Karthik,4
MK Pandey,4
KH Pandya,4
NM Coulter-Nile,4
PA Patel,4
ML Hayden,4
KP Pietersen,3
R Vinay Kumar,3
DA Miller,3
LRPL Taylor,3
PP Chawla,3
A Symonds,3
A Kumble,3
M Vohra,3
MK Tiwary,3
L Balaji,3
Mandeep Singh,3
KK Nair,3
CJ Anderson,3
LMP Simmons,3
BA Stokes,3
WP Saha,3
SV Samson,3
AJ Tye,2
RR Pant,2
IK Pathan,2
MG Johnson,2
CA Lynn,2
SS Iyer,2
MM Sharma,2
S Dhawan,2
KM Jadhav,2
N Rana,2
AB Dinda,2
Harmeet Singh,2
CH Morris,2
DE Bollinger,2
B Lee,2
MJ McClenaghan,2
R Sharma,2
MP Stoinis,2
GH Vihari,2
HM Amla,2
M Morkel,2
Rashid Khan,2
M Muralitharan,2
SM Pollock,2
Sohail Tanvir,2
F du Plessis,2
ST Jayasuriya,2
MM Patel,2
DJ Hussey,2
MV Boucher,2
PC Valthaty,2
HH Pandya,2
MC Henriques,2
GC Smith,2
DJ Bravo,2
M Ntini,2
P Negi,2
I Sharma,2
Azhar Mahmood,2
JA Morkel,2
P Kumar,2
PV Tambe,2
Iqbal Abdulla,2
R Dravid,2
SK Trivedi,2
Shakib Al Hasan,2
BW Hilfenhaus,2
CL White,1
KMDN Kulasekara,1
S Nadeem,1
MN Samuels,1
AD Mascarenhas,1
JD Ryder,1
GJ Bailey,1
A Chandila,1
MS Bisla,1
A Zampa,1
CR Brathwaite,1
SA Yadav,1
Mustafizur Rahman,1
Q de Kock,1
Z Khan,1
EJG Morgan,1
TA Boult,1
VR Aaron,1
MA Starc,1
MA Agarwal,1
JEC Franklin,1
DJ Hooda,1
YS Chahal,1
LJ Wright,1
AP Tare,1
KK Cooper,1
DJG Sammy,1
MS Gony,1
RE Levi,1
S Badrinath,1
S Aravind,1
SM Katich,1
PP Ojha,1
RS Bopara,1
RP Singh,1
DL Vettori,1
Umar Gul,1
SP Goswami,1
Shoaib Akhtar,1
CRD Fernando,1
S Sreesanth,1
SA Asnodkar,1
GD McGrath,1
JDP Oram,1
BA Bhatt,1
MF Maharoof,1
KV Sharma,1
Washington Sundar,1
HV Patel,1
Mohammed Siraj,1
RA Tripathi,1
Mohammed Shami,1
LH Ferguson,1
JC Buttler,1
KS Williamson,1
JJ Bumrah,1
TM Dilshan,1
HH Gibbs,1
DP Nannes,1
SB Jakati,1
MR Marsh,1
P Parameswaran,1
J Botha,1
S Sohal,1
MD Mishra,1
SB Wagh,1
S Anirudha,1
M Kartik,1
R McLaren,1
R Ashwin,1
RJ Harris,1
TL Suman,1
MJ Lumb,1
PD Collingwood,1
NV Ojha,1
AC Voges,1
J Theron,1
AA Jhunjhunwala,1
WPUJC Vaas,1
AD Mathews,1
LR Shukla,1
R Bhatia,1
A Singh,1
BCJ Cutting,1
