venue,count
M Chinnaswamy Stadium,66
Eden Gardens,61
Feroz Shah Kotla,60
Wankhede Stadium,57
"Rajiv Gandhi International Stadium, Uppal",49
"MA Chidambaram Stadium, Chepauk",48
"Punjab Cricket Association Stadium, Mohali",35
Sawai Mansingh Stadium,33
Dr DY Patil Sports Academy,17
Subrata Roy Sahara Stadium,17
Maharashtra Cricket Association Stadium,15
Kingsmead,15
"Sardar Patel Stadium, Motera",12
SuperSport Park,12
"Punjab Cricket Association IS Bindra Stadium, Mohali",11
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,11
Brabourne Stadium,11
Saurashtra Cricket Association Stadium,10
Himachal Pradesh Cricket Association Stadium,9
New Wanderers Stadium,8
Newlands,7
St George's Park,7
Sheikh Zayed Stadium,7
JSCA International Stadium Complex,7
Barabati Stadium,7
Dubai International Cricket Stadium,7
Shaheed Veer Narayan Singh International Stadium,6
Sharjah Cricket Stadium,6
Holkar Cricket Stadium,5
Nehru Stadium,5
Green Park,4
"Vidarbha Cricket Association Stadium, Jamtha",3
De Beers Diamond Oval,3
Buffalo Park,3
OUTsurance Oval,2
